subject_code,subject_name,max_marks,credit,practical
SCOB3017,PROGRAMMING IN C AND C++,100,4,False
SCOB3018,PYTHON PROGRAMMING,100,4,False
SCOB3019,DIGITAL BUSINESS MANAGEMENT,100,4,False
SCOB3020,ENTERPRISE RESOURCE PLANNING,100,4,False
SCOB3021,R PROGRAMMING,100,4,False
SCOB3022,CYBER SECURITY IN BUSINESS,100,4,False
SCOB3023,E-COMMERCE,100,4,False
SCOB3024,DIGITAL BANKING AND FINANCE,100,4,False
SCOB3025,MUTUAL FUND,100,4,False
SCOB3026,BUSINESS VALUATION,100,4,False
SCOB3027,BUSINESS ANALYTICS,100,4,False
SCOB3028,FINANCIAL MODELING,100,4,False
SCOB3029,PERSONAL FINANCE,100,4,False
SCOB3030,SECURITY AND PORTFOLIO MANAGEMENT,100,4,False
SCOB3031,FINANCIAL DERIVATIVES,100,4,False
SCOB3032,SUPPLY CHAIN FINANCE,100,4,False
SCOB3033,DESIGN THINKING,100,4,False
SCOB3034,BUSINESS MODELLING,100,4,False
SCOB3035,SOCIAL ENTREPRENEURSHIP,100,4,False
SCOB3036,TECHNOLOGICAL ENTREPRENEURSHIP,100,4,False
SCOB3037,FUNDING FOR ENTREPRENEURS,100,4,False
SCOB3038,STARTUP BUSINESS,100,4,False
SCOB3039,FAMILY MANAGED BUSINESS,100,4,False
SCOB3040,INTELLECTUAL PROPERTY RIGHTS,100,4,False
SHSB1104,ENGLISH -I (LEGAL LANGUAGE AND LITERATURE),100,4,False
SBAB1111,FINANCIAL ACCOUNTING - I,100,4,False
SBAB1112,PRINCIPLES OF ECONOMICS,100,4,False
SBAB1113,PRINCIPLES OF MANAGEMENT,100,4,False
SALB1103,LAW OF CONTRACTS AND SPECIFIC RELIEF,100,4,False
SALB1104,LAW OF TORTS INCLUDING MV ACCIDENT AND CONSUMER PROTECTION LAWS,100,4,False
SFRB1104,FRENCH,100,2,False
SJAB1105,JAPANESE,100,2,False
SGEB1106,GERMAN,100,2,False
SHSB1203,ENGLISH II (LEGAL LANGUAGE AND COMMUNICATION),100,4,False
SBAB1211,FINANCIAL ACCOUNTING - II,100,4,False
SBAB1212,INDIAN ECONOMY,100,4,False
SBAB1213,ORGANISATIONAL DYNAMICS,100,4,False
SALB1203,SPECIAL CONTRACTS,100,4,False
SALB1204,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB1205,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SHSB1303,ENGLISH III (LEGAL LANGUAGE AND LITERATURE),100,4,False
SBAB1311,CORPORATE ACCOUNTING - I,100,4,False
SBAB1312,LAW AND ECONOMICS,100,4,False
SMTB1307,BUSINESS STATISTICS,100,4,False
SALB1303,CONSTITUTIONAL LAW -I,100,4,False
SALB1304,FAMILY LAW - I,100,4,False
SALB1305,LAW OF CRIMES -I (IPC),100,4,False
SALB1306,INTRODUCTION TO LEGAL AND MORAL PHILOSOPHY,100,2,False
SHSB1403,ENGLISH IV (LEGAL LANGUAGE AND LITERATURE),100,4,False
SBAB1411,CORPORATE ACCOUNTING - II,100,4,False
SALB1401,CONSTITUTIONAL LAW II,100,4,False
SALB1402,FAMILYLAW II,100,4,False
SALB1403,LAW OF EVIDENCE,100,4,False
SALB1404,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB1405,DISASTER MANAGEMENT,100,2,False
SALB1406,ACADEMIC WRITING,100,2,False
SHSB1503,ENGLISH V (LEGAL LANGUAGE AND LITERATURE),100,4,False
SBAB1511,FINANCIAL AND MANAGEMENT ACCOUNTING,100,4,False
SALB1501,PUBLIC INTERNATIONAL LAW,100,4,False
SALB1502,FAMILY LAW II,100,4,False
SALB1503,PROPERTY LAW,100,4,False
SALB1504,LEGAL LANGUAGE AND WRITING,100,2,False
SHSB1603,ENGLISH VI (LEGAL LANGUAGE AND LITERATURE),100,4,False
SBAB1611,COST ACCOUNTING,100,4,False
SALB1601,ADMINISTRATIVE LAW,100,4,False
SALB1602,FAMILY LAW II,100,4,False
SALB1603,LAW OF CRIMES -I (IPC),100,4,False
SALB1604,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB1605,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SHSB1703,ENGLISH VII (LEGAL LANGUAGE AND LITERATURE),100,4,False
SBAB1711,CORPORATE ACCOUNTING - II,100,4,False
SALB1701,LABOUR LAW -I,100,4,False
SALB1702,CIVIL PROCEDURE CODE AND LIMITATION ACT,100,4,False
SALB1703,LAW OF EVIDENCE,100,4,False
SALB1704,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB1705,DISASTER MANAGEMENT,100,2,False
SALB1706,ACADEMIC WRITING,100,2,False
SHSB1803,ENGLISH VIII (LEGAL LANGUAGE AND LITERATURE),100,4,False
SBAB1811,FINANCIAL AND MANAGEMENT ACCOUNTING,100,4,False
SALB1801,LABOUR LAWII,100,4,False
SALB1802,LAW OF CRIMESII (CRIMINAL PROCEDURE CODE, JUVENILE JUSTICE ACT & PROBATION OF OFFENDERS ACT),100,4,False
SALB1803,PROPERTY LAW,100,4,False
SALB1804,LEGAL LANGUAGE AND WRITING,100,2,False
SALB1901,PRINCIPLES OF TAXATION LAW,100,4,False
SALB1902,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEI),100,5,True
SALB1903,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIII),100,5,True
SALB1904,ENVIRONMENTAL LAW,100,4,False
SALB1905,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB2001,CORPORATE GOVERNANCE,100,4,False
SALB2002,DRAFTING, PLEADING AND CONVEYANCE (CLINICAL COURSEII),100,5,True
SALB2003,ARBITRATION, CONCILIATION & ALTERNATIVE DISPUTE RESOLUTION SYSTEM (CLINICAL COURSEIV),100,5,True
SALB2004,ENVIRONMENTAL LAW,100,4,False
SALB2005,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB2101,PUBLIC INTERNATIONAL LAW,100,4,False
SALB2102,FAMILY LAW II,100,4,False
SALB2103,PROPERTY LAW,100,4,False
SALB2104,LEGAL LANGUAGE AND WRITING,100,2,False
SALB2201,ADMINISTRATIVE LAW,100,4,False
SALB2202,FAMILY LAW II,100,4,False
SALB2203,LAW OF CRIMES -I (IPC),100,4,False
SALB2204,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB2205,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB2301,CONSTITUTIONAL LAW -I,100,4,False
SALB2302,FAMILY LAW - I,100,4,False
SALB2303,LAW OF CRIMES -I (IPC),100,4,False
SALB2304,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB2305,INTRODUCTION TO LAW, LEGAL SYSTEMS & LEGAL RESEARCH,100,2,False
SALB2401,LABOUR LAW -I,100,4,False
SALB2402,CIVIL PROCEDURE CODE AND LIMITATION ACT,100,4,False
SALB2403,LAW OF EVIDENCE,100,4,False
SALB2404,JURISPRUDENCE (LEGAL METHOD, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW),100,4,False
SALB2405,DISASTER MANAGEMENT,100,2,False
SALB2406,ACADEMIC WRITING,100,2,False
SALB2501,COMPANY LAW,100,4,False
