"filename", "language", "YAML", "Java Properties", "Markdown", "Dart", "Gradle", "XML", "Kotlin", "Swift", "sqlite3-editor-database", "C++", "JSON", "comment", "blank", "total"
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\add_subjects\add_subjects_page.dart", "Dart", 0, 0, 0, 278, 0, 0, 0, 0, 0, 0, 0, 17, 14, 309
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\add_subjects\bloc\add_page_bloc.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 8, 28
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\add_subjects\bloc\add_page_event.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\add_subjects\bloc\add_page_state.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\calculate_cgpa\bloc\calculate_cgpa_bloc.dart", "Dart", 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 82, 22, 239
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\calculate_cgpa\bloc\calculate_cgpa_event.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\calculate_cgpa\bloc\calculate_cgpa_state.dart", "Dart", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\calculate_cgpa\calculate_cgpa_page.dart", "Dart", 0, 0, 0, 263, 0, 0, 0, 0, 0, 0, 0, 9, 15, 287
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\choose_branch\choose_branch_page.dart", "Dart", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\choose_course\choose_course_page.dart", "Dart", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 8, 65
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\login\bloc\login_bloc.dart", "Dart", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 3, 12, 83
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\login\bloc\login_event.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\login\bloc\login_state.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\login\login_page.dart", "Dart", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 14, 13, 213
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\settings\settings_page.dart", "Dart", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\show_cgpa\show_cgpa_page.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Projects\my_projects\Flutter_projects\cgpa_calculator\sist_cgpa\lib\features\splash_screen.dart", "Dart", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 3, 4, 75
